Nombre,Precio,Media,Total_puntos,posicion,link_equipo
J. Bellingham,↑ 24.450.000,"10,2",173,3,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
T. Kubo,↓ 20.398.000,"8,2",147,3,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
B. Mayoral,↑ 17.311.000,"7,4",147,4,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
A. Griezmann,↑ 24.521.000,"7,6",144,4,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
Á. Valles,↑ 16.362.000,"6,8",143,1,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
I. Williams,↓ 17.714.000,"7,7",139,4,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
Isco,↑ 20.090.000,"7,3",138,3,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
Pepelu,↑ 15.939.000,"6,4",135,3,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
K. Rodríguez,↑ 15.549.000,"6,7",133,3,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
A. García,↓ 20.543.000,"6,6",132,3,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
A. Budimir,↓ 15.581.000,"6,6",131,4,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
A. Dovbyk,↑ 17.490.000,"6,8",130,4,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
Sávio,↑ 18.398.000,"6,3",126,4,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
M. Zubimendi,↓ 16.685.000,"6,2",124,3,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
H. Duro,↑ 11.257.000,"5,7",119,4,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
Rodrygo,↑ 19.658.000,"6,2",117,4,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
J. Strand Larsen,↑ 13.731.000,"5,6",117,4,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
Á. Morata,↑ 17.150.000,"6,4",116,4,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
N. Williams,↑ 18.175.000,"6,4",115,3,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
M. Oyarzabal,↑ 15.241.000,"5,7",114,4,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
B. Zaragoza,↓ 11.176.000,"5,9",113,3,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
G. Guruzeta,↓ 14.549.000,"5,4",113,4,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
G. Moreno,↓ 18.262.000,"6,2",112,4,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
B. Méndez,↑ 14.703.000,"5,9",112,3,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
L. Rioja,↑ 10.833.000,"5,3",112,3,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
G. Mamardashvili,↑ 10.408.000,"5,3",111,1,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
C. Ramos,↓ 9.708.000,"5,2",110,4,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
F. Valverde,↑ 20.110.000,"5,7",108,3,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
T. Kroos,↑ 18.307.000,"5,7",108,3,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
U. Simón,↓ 10.813.000,"5,0",104,1,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
A. Remiro,↓ 11.374.000,"5,2",103,1,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
İ. Gündoğan,↑ 18.083.000,"5,4",102,3,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
S. Arribas,↓ 10.460.000,"5,1",102,3,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
I. Martín,↑ 14.203.000,"5,3",100,3,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
A. Pérez,↓ 11.615.000,"5,2",98,4,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
D. Vivian,↑ 10.736.000,"4,7",98,2,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
S. Costa,↑ 10.104.000,"4,7",98,3,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
Y. Couto,↑ 13.013.000,"5,1",97,2,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
M. Roca,↑ 11.821.000,"5,1",97,3,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
F. Jörgensen,↓ 9.421.000,"4,6",97,1,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
M. Gutiérrez,↑ 13.528.000,"5,1",96,2,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
N. Maksimović,↓ 9.162.000,"4,8",96,3,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
P. Rajković,↑ 8.766.000,"4,6",96,1,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
D. Carvajal,↑ 15.330.000,"6,8",95,2,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
O. Sancet,↓ 14.991.000,"5,0",95,3,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
I. Aspas,↑ 17.872.000,"4,8",95,4,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
D. López,↑ 5.643.000,"4,5",95,4,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
G. Pezzella,↑ 12.552.000,"4,9",94,2,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
I. Palazón,↓ 12.836.000,"4,7",94,3,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
Ó. Mingueza,↓ 10.357.000,"4,5",94,2,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
S. Cardona,↑ 11.183.000,"4,7",93,2,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
P. Gazzaniga,↑ 10.795.000,"4,7",93,1,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
J. Guerra,↑ 9.380.000,"4,8",92,3,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
D. Blind,↑ 12.791.000,"4,6",92,2,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
F. Lejeune,↓ 11.438.000,"4,6",92,2,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
R. Alcaraz,↑ 4.193.000,"4,6",92,3,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
J. Guridi,↑ 4.735.000,"4,6",91,3,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
L. Ocampos,↑ 11.837.000,"4,7",90,4,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
D. Soria,↓ 9.977.000,"4,5",90,1,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
A. Sørloth,↑ 8.810.000,"4,9",89,4,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
Á. García,↓ 8.050.000,"4,9",89,3,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
J. Oblak,↑ 11.060.000,"4,7",89,1,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
C. Stuani,↓ 5.205.000,"4,7",89,4,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
I. Zubeldia,↑ 10.094.000,"4,5",89,2,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
J. Ledesma,↓ 9.432.000,"4,9",88,1,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
J. Bamba,↓ 7.285.000,"4,9",88,4,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
M. Mármol,↑ 10.250.000,"4,6",88,2,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
S. Dimitrievski,↓ 6.764.000,"4,4",88,1,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
M. Greenwood,↑ 12.836.000,"5,4",87,4,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
A. Rüdiger,↑ 15.396.000,"4,8",87,2,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
S. Lino,↓ 14.034.000,"5,7",86,3,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
Y. Herrera,↑ 11.021.000,"5,7",86,3,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
R. Lewandowski,↓ 20.696.000,"5,1",86,4,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
L. Yamal,↑ 10.037.000,"4,5",86,4,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
V. Tsygankov,↑ 14.759.000,"5,7",85,3,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
I. Ruiz De Galarreta,↑ 10.189.000,"5,3",85,3,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
M. Merino,↓ 12.299.000,"4,7",85,3,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
A. Witsel,↓ 9.913.000,"4,7",85,2,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
A. Guevara,↑ 5.136.000,"4,3",85,3,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
