Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Rodrygo,Real Madrid,107.333.686€,218,34,2381,9,8,9,7,4,74,36,70,304,0,27,0,0,0,4,0,2,0,0
Darder,RCD Espanyol,42.671.956€,217,38,3327,6,3,16,59,22,62,15,228,581,0,64,0,0,0,4,0,0,0,0
Ledesma,Cádiz CF,7.554.102€,210,34,3060,0,0,0,0,51,3,0,354,531,0,48,0,134,1,2,0,0,1,0
Gabri Veiga,RC Celta,41.076.770€,210,36,2312,11,4,6,6,5,32,30,155,316,0,30,1,0,0,6,0,0,0,0
Benzema,Real Madrid,91.915.100€,208,24,2044,19,3,13,0,5,19,49,35,236,1,17,0,0,0,1,0,2,0,0
Parejo,Villarreal CF,54.471.651€,205,37,3289,3,4,7,44,29,25,12,286,422,2,39,0,0,1,6,0,0,0,0
Valverde,Real Madrid,68.180.646€,203,38,2509,7,4,8,7,15,29,21,149,252,0,25,0,0,0,2,0,0,0,0
Álex Balde,FC Barcelona,87.356.459€,203,37,2476,1,6,6,22,12,47,4,158,303,0,15,0,0,0,4,0,0,0,0
Raphinha,FC Barcelona,74.616.217€,202,36,2025,7,7,17,47,10,44,28,106,475,0,9,0,0,0,9,0,0,0,0
Badía,Elche CF,2.206.809€,200,36,3240,0,0,0,0,39,0,0,284,283,0,63,0,139,1,2,0,0,3,0
Sancet,Athletic Club,50.680.773€,197,36,2554,10,2,5,2,10,45,23,145,353,0,29,1,0,0,6,0,0,0,0
Muriqi,RCD Mallorca,55.850.178€,196,35,2953,15,3,3,0,71,12,30,103,497,1,35,1,0,0,6,0,1,0,0
De Jong,FC Barcelona,93.504.895€,195,34,2538,2,4,8,11,22,33,11,218,295,0,20,0,0,0,3,0,0,0,0
Robertone,UD Almería,47.345.064€,194,37,2861,2,7,14,48,41,27,6,251,407,0,47,0,0,0,7,0,0,0,0
Chukwueze,Villarreal CF,74.440.880€,193,38,2344,6,5,6,10,14,79,19,122,388,0,33,0,0,0,1,0,1,0,0
Brais Méndez,Real Sociedad,39.255.080€,190,35,2417,8,4,6,43,13,13,22,141,420,0,25,0,0,0,6,0,0,0,0
Sorloth,Real Sociedad,49.061.487€,189,34,2399,12,3,7,2,25,30,32,77,337,0,20,0,0,0,4,0,0,0,0
Borja Iglesias,Real Betis,42.233.390€,189,35,2380,15,3,5,1,17,10,32,48,260,1,24,1,0,0,2,0,0,0,0
Militão,Real Madrid,71.461.809€,188,35,2703,5,0,1,2,99,11,9,196,256,0,29,0,0,1,4,0,1,0,0
Raíllo,RCD Mallorca,25.062.113€,188,31,2767,2,3,4,0,157,2,5,173,202,0,31,1,0,0,11,0,1,0,0
Carrasco,Atlético de Madrid,37.267.109€,187,36,2330,7,3,6,29,16,54,23,145,375,0,25,0,0,0,2,0,0,0,0
Enes Ünal,Getafe CF,32.095.632€,187,35,2983,14,3,6,3,34,19,39,95,462,1,42,0,0,0,6,0,2,0,0
Rajkovic,RCD Mallorca,4.519.026€,186,38,3240,0,0,0,0,33,4,0,316,493,0,40,0,94,1,3,0,0,1,0
Pedri,FC Barcelona,84.825.111€,186,26,1981,6,1,10,10,7,28,9,147,282,0,9,0,0,0,2,0,0,0,0
Koundé,FC Barcelona,74.145.496€,184,31,2428,1,3,5,6,56,15,3,177,299,0,12,0,0,0,2,0,0,0,1
Morata,Atlético de Madrid,42.657.525€,183,37,1906,13,2,3,2,23,20,34,56,247,0,10,0,0,0,4,0,0,0,0
Mikel Merino,Real Sociedad,71.084.897€,182,33,2498,2,9,12,6,51,19,18,238,461,1,31,1,0,0,6,0,0,0,0
Mamardashvili,Valencia CF,5.298.149€,182,38,3420,0,0,0,0,24,0,0,302,393,0,45,0,105,1,3,0,0,0,0
Aspas,RC Celta,49.422.121€,182,37,2865,12,3,9,9,20,21,38,111,416,1,46,0,0,0,4,0,0,0,0
Nico Williams,Athletic Club,62.047.427€,182,36,2674,6,3,6,28,7,80,21,154,553,0,30,0,0,0,3,0,1,0,0
Álvaro García,Rayo Vallecano,21.137.647€,181,35,2885,5,5,6,31,16,22,22,219,471,0,41,0,0,0,7,0,2,0,0
Iñaki Williams,Athletic Club,39.525.945€,181,36,2850,10,3,9,12,33,44,35,83,466,1,35,0,0,0,2,0,0,0,0
Zubimendi,Real Sociedad,46.641.593€,180,36,3101,1,3,5,2,48,9,3,257,315,0,34,0,0,1,12,0,0,0,0
Fernando,UD Almería,2.126.174€,179,38,3285,0,0,0,0,25,1,0,314,395,0,61,0,133,0,3,0,0,1,0
Aidoo,RC Celta,39.390.051€,178,35,3121,3,0,0,1,140,8,3,243,262,0,48,0,0,1,4,1,0,0,0
Samuel Lino,Valencia CF,23.894.235€,177,38,2897,6,1,2,9,9,50,34,188,478,0,38,0,0,0,3,0,2,0,0
Joselu,RCD Espanyol,45.471.366€,176,35,2989,16,2,2,7,40,17,41,78,453,0,61,0,0,0,2,0,2,0,0
Asensio,Real Madrid,19.202.850€,176,37,1428,9,6,9,22,3,23,27,50,193,1,16,0,0,1,1,0,1,0,0
Yéremy Pino,Villarreal CF,25.927.597€,175,37,2465,4,5,10,5,25,44,22,122,327,0,31,0,0,0,8,0,1,0,0
Almeida,Valencia CF,20.414.249€,174,35,2549,2,4,4,46,15,44,8,180,417,0,32,0,0,0,3,0,0,0,0
Giménez,Atlético de Madrid,37.677.296€,173,31,2421,2,1,1,0,133,6,9,165,166,0,21,0,0,1,9,0,0,0,0
Kroos,Real Madrid,35.648.433€,173,33,2163,2,4,7,50,7,9,11,176,259,0,23,0,0,1,0,1,0,0,0
Dani Rodríguez,RCD Mallorca,13.464.899€,173,35,2114,3,6,5,8,9,28,10,153,255,0,26,0,0,0,8,0,0,0,0
Aleix García,Girona FC,40.933.433€,173,30,2340,1,5,11,87,29,12,15,164,325,0,37,0,0,0,1,0,0,0,0
