Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Oyarzabal,Real Sociedad,35.287.289€,226,33,2824,12,8,9,56,41,22,18,175,370,2,41,0,0,0,8,0,0,0,0
Isak,Real Sociedad,52.297.751€,224,33,2430,11,8,10,52,13,23,28,142,425,1,24,0,0,0,1,0,1,0,0
Correa,Atlético de Madrid,43.708.655€,224,38,2359,17,2,3,6,7,37,45,53,252,1,22,0,0,0,4,0,3,0,0
Modric,Real Madrid,46.689.104€,223,38,2411,9,8,14,6,12,49,25,140,384,0,14,0,0,0,3,0,0,0,0
Griezmann,FC Barcelona,62.497.463€,218,36,2743,5,3,7,18,11,53,16,232,424,0,23,0,0,0,4,0,0,0,0
Carrasco,Atlético de Madrid,57.762.699€,214,38,2621,13,7,9,11,11,26,36,107,253,1,31,0,0,0,4,0,2,0,0
Parejo,Villarreal CF,81.561.288€,213,31,2187,6,10,10,23,10,64,24,167,447,0,13,0,0,1,6,0,0,0,0
Casemiro,Real Madrid,39.137.332€,209,36,3119,3,4,7,54,18,35,9,272,398,0,43,0,0,0,5,0,0,0,0
Canales,Real Betis,61.183.752€,206,34,2902,6,4,4,5,54,14,13,296,408,0,20,0,0,0,9,1,0,0,0
Koundé,Sevilla FC,52.008.544€,203,30,2414,8,6,10,37,6,31,14,167,357,1,29,0,0,0,4,0,0,0,0
Morales,Levante UD,44.283.183€,202,35,2975,2,1,1,2,100,28,6,224,311,0,28,0,0,2,4,0,0,0,0
EnNesyri,Sevilla FC,30.000.666€,201,38,2454,13,3,6,21,10,31,27,110,374,1,42,0,0,0,3,0,0,0,0
Remiro,Real Sociedad,40.691.729€,201,38,2312,18,0,5,1,22,14,31,50,253,0,24,0,0,0,2,0,1,0,0
Kroos,Real Madrid,6.850.746€,200,38,3420,0,0,0,0,21,1,0,277,347,0,38,0,68,0,0,0,0,1,0
Rafa Mir,SD Huesca,49.722.606€,194,31,2120,3,10,11,51,9,16,12,143,252,0,21,0,0,0,6,0,0,0,0
Asenjo,Villarreal CF,12.158.068€,192,38,2879,13,1,1,3,22,14,48,95,330,1,45,0,0,0,2,0,1,0,0
Javi Galán,SD Huesca,4.354.741€,190,38,3240,0,0,0,0,23,0,0,271,288,0,40,0,80,1,2,0,0,1,0
Jordi Alba,FC Barcelona,16.518.490€,189,37,3068,1,2,6,48,48,113,1,263,555,0,47,0,0,0,5,0,0,0,0
Fernando,Sevilla FC,42.624.605€,188,36,3031,3,5,13,26,33,18,11,263,517,0,34,0,0,0,9,0,0,0,1
Nolito,RC Celta,38.570.731€,188,35,2546,3,4,5,1,61,11,4,231,211,0,27,0,0,0,6,0,0,0,0
Fekir,Real Betis,13.853.548€,188,37,2626,7,5,9,11,17,29,23,198,383,0,38,0,0,2,7,0,0,0,0
Edgar Badia,Elche CF,33.325.294€,186,33,2633,5,5,7,41,0,88,29,114,450,2,37,1,0,0,5,0,3,0,0
Ferreiro,SD Huesca,3.844.393€,184,38,2700,0,0,0,0,27,0,0,282,286,0,46,0,95,0,0,0,0,3,0
Ter Stegen,FC Barcelona,3.001.404€,183,38,2539,2,4,5,85,7,45,12,179,492,0,34,0,0,0,5,0,0,0,0
Rubén García,C.A. Osasuna,20.092.935€,183,31,2790,0,0,0,0,24,0,0,223,119,0,32,0,78,1,1,0,0,0,0
Jordán,Sevilla FC,6.011.626€,182,37,2735,3,5,8,58,15,23,9,185,553,0,38,0,0,0,2,0,1,0,0
Varane,Real Madrid,30.354.711€,181,35,2418,1,6,4,26,26,30,6,197,328,0,22,0,0,0,6,1,0,0,0
Koke,Atlético de Madrid,26.487.974€,180,33,2716,2,0,0,0,108,3,5,186,210,0,23,0,0,0,2,0,0,0,1
Kike García,SD Eibar,29.905.376€,179,37,3025,1,2,3,20,36,26,7,256,384,0,22,0,0,0,9,0,0,0,0
Joselu,D. Alavés,2.140.530€,177,37,3100,12,2,2,6,29,35,36,134,531,0,49,0,0,0,2,1,0,0,0
Pedri,FC Barcelona,2.107.483€,177,37,3032,11,3,5,6,53,26,35,132,604,2,50,0,0,0,1,0,1,0,0
Ocampos,Sevilla FC,46.737.027€,177,37,2429,3,3,5,3,5,28,9,172,331,0,26,0,0,0,2,0,1,0,0
Pau Torres,Villarreal CF,37.241.664€,177,34,2646,5,4,9,5,27,65,22,135,432,1,25,0,0,0,3,0,1,0,0
Arambarri,Getafe CF,31.994.153€,177,36,2970,2,2,1,1,104,25,4,224,292,0,34,0,0,1,2,0,0,0,1
Sergio Herrera,C.A. Osasuna,11.165.346€,176,36,2989,3,0,2,37,25,36,13,241,452,0,34,0,0,0,11,0,0,0,0
Dmitrovic,SD Eibar,2.141.127€,176,37,2957,0,0,1,0,47,1,0,358,546,0,40,0,89,1,2,0,0,2,0
Pacheco,D. Alavés,3.025.642€,175,36,3121,1,0,1,0,22,1,2,308,487,1,49,0,81,0,0,0,0,1,0
De Frutos,Levante UD,2.150.773€,174,38,3348,0,0,0,0,31,0,0,271,338,0,57,0,85,0,1,0,0,0,0
Unai Simón,Athletic Club,3.806.428€,174,37,2186,4,9,6,25,12,42,12,116,409,0,38,0,0,0,3,0,2,0,0
Brais Méndez,RC Celta,3.089.323€,173,38,3330,0,0,0,0,15,1,0,290,319,0,40,0,69,1,1,0,0,1,0
Cucurella,Getafe CF,5.783.798€,173,37,2676,9,0,5,8,27,12,23,190,424,0,41,0,0,0,8,0,2,0,0
Savic,Atlético de Madrid,13.355.738€,173,37,3197,3,2,4,29,17,25,8,245,585,0,36,0,0,0,8,0,0,0,0
Navas,Sevilla FC,34.840.192€,172,34,2954,1,0,0,1,100,6,2,202,275,0,20,0,0,1,15,0,0,0,0
Trippier,Atlético de Madrid,31.522.414€,172,35,2833,0,6,8,55,55,19,2,211,487,0,31,0,0,0,4,0,0,0,0
Alex Berenguer,Athletic Club,52.756.520€,171,28,2477,0,6,7,42,47,18,1,187,447,0,13,0,0,0,0,0,0,0,0
Bryan Gil,SD Eibar,5.415.001€,170,35,2288,8,4,5,29,21,35,15,129,457,0,23,0,0,0,4,0,1,0,0
David García,C.A. Osasuna,11.968.372€,170,30,2281,4,3,5,49,5,62,17,159,508,0,29,0,0,0,6,0,0,0,0
Denis Suárez,RC Celta,7.312.366€,169,36,3150,1,0,1,0,167,2,2,231,399,0,41,0,0,1,8,0,0,0,1
Djené,Getafe CF,20.015.891€,168,36,2863,0,9,10,36,14,36,3,202,494,0,51,0,0,0,10,0,0,0,0
Diego Carlos,Sevilla FC,10.327.638€,168,35,3035,0,1,0,2,98,12,0,283,323,0,36,1,0,3,6,1,1,0,0
Moi Gómez,Villarreal CF,32.488.637€,168,34,2790,1,0,1,0,109,7,5,193,202,0,26,0,0,2,9,1,0,0,1
Santi Mina,RC Celta,14.796.635€,166,35,2570,4,0,4,15,13,37,11,174,333,0,34,0,0,1,1,0,0,0,0
Fidel,Elche CF,2.578.394€,165,35,2421,12,3,5,1,16,10,23,85,297,0,42,0,0,0,4,0,3,0,0
Suso,Sevilla FC,1.230.931€,165,30,2401,6,3,6,56,14,50,9,155,495,1,31,0,0,0,8,0,0,0,0
Dembélé,FC Barcelona,7.225.308€,165,34,2230,3,4,5,32,5,54,17,91,333,0,20,0,0,0,2,0,0,0,0
Guido Rodríguez,Real Betis,44.192.492€,164,33,1780,6,3,6,22,0,62,22,70,314,0,19,0,0,0,2,0,0,0,0
Williams,Athletic Club,12.598.083€,163,34,2779,1,0,1,1,49,33,8,285,310,0,44,0,0,1,10,0,0,0,0
Portu,Real Sociedad,9.738.487€,163,38,2392,6,6,8,12,21,34,20,62,355,0,31,0,0,0,1,0,0,0,0
Gabriel Paulista,Valencia CF,10.307.647€,163,38,2189,8,3,4,11,3,14,14,93,274,0,26,0,0,0,3,0,0,0,0
Trigueros,Villarreal CF,11.946.431€,161,31,2701,3,1,1,1,129,3,5,215,195,0,42,0,0,1,6,0,1,0,0
Busquets,FC Barcelona,8.067.241€,160,36,2541,1,7,9,7,17,26,8,173,317,0,31,1,0,0,6,0,1,0,0
Roger,Levante UD,24.159.244€,160,36,2530,0,5,6,0,18,7,1,232,272,0,30,0,0,0,9,0,0,0,0
Raúl Guti,Elche CF,3.556.284€,158,36,2209,12,4,4,3,6,14,23,53,248,2,39,0,0,0,4,0,0,0,0
Ledesma,Cádiz CF,963.639€,157,37,2873,3,1,1,2,21,28,6,235,306,0,39,1,0,0,3,0,0,0,0
Albiol,Villarreal CF,827.907€,157,35,2880,0,0,0,0,39,1,0,310,529,0,45,0,83,1,0,0,0,1,0
Asensio,Real Madrid,15.477.186€,156,37,3119,0,0,1,2,142,3,1,194,258,0,42,0,0,0,7,0,0,0,0
Guedes,Valencia CF,25.879.523€,156,36,1876,5,2,3,24,8,29,13,95,279,0,17,0,0,0,1,0,0,0,0
Rakitic,Sevilla FC,9.244.455€,153,36,2310,5,5,5,14,4,62,15,105,375,0,33,1,0,0,3,0,0,0,0
Maksimovic,Getafe CF,8.075.815€,153,37,2241,4,2,1,10,28,9,11,179,306,0,21,0,0,0,5,0,1,0,0
Machís,Granada CF,3.446.853€,152,35,2741,1,1,1,11,38,14,6,188,240,0,30,0,0,1,5,0,0,0,0
Negredo,Cádiz CF,4.122.153€,151,31,1956,4,5,8,23,10,43,19,143,355,1,39,0,0,0,1,0,0,0,0
Mandi,Real Betis,2.510.992€,151,35,2215,8,4,7,0,19,29,23,48,350,0,41,0,0,1,3,1,0,0,0
Januzaj,Real Sociedad,7.996.775€,150,33,2394,3,1,3,0,88,2,7,168,146,0,31,1,0,2,5,1,0,0,0
Óscar Plano,Real Valladolid,3.847.395€,150,32,1010,4,5,9,27,3,46,13,62,255,0,10,0,0,0,2,0,1,0,0
Jaume Domenech,Valencia CF,1.530.975€,149,36,2526,5,5,2,8,37,15,10,181,320,0,43,1,0,1,1,0,0,0,0
Muniain,Athletic Club,1.217.036€,148,38,2520,0,0,0,0,32,1,0,225,283,0,42,0,90,0,1,0,0,2,0
Le Normand,Real Sociedad,8.021.153€,148,29,1957,5,3,3,18,1,40,11,102,296,0,26,0,0,0,1,0,1,0,0
Hermoso,Atlético de Madrid,10.956.880€,147,36,2749,0,1,1,2,83,4,1,175,275,0,31,1,0,1,5,0,2,0,0
Lucas Boyé,Elche CF,26.726.816€,147,35,2583,1,1,0,3,64,8,5,185,353,0,17,0,0,0,5,0,0,0,1
Tapia,RC Celta,557.269€,147,34,2705,7,2,1,2,20,58,23,114,453,0,41,0,0,0,7,1,0,0,0
Melero,Levante UD,4.091.716€,146,33,2710,0,1,0,0,67,26,5,282,366,0,41,0,0,0,11,0,0,0,0
João Félix,Atlético de Madrid,2.994.691€,146,30,1856,7,1,2,0,22,13,9,135,176,0,33,0,0,0,4,0,0,0,0
Aitor Fdez,Levante UD,16.741.775€,146,31,1570,7,5,8,1,2,30,18,68,234,1,14,0,0,0,6,0,1,0,0
Luis Rioja,D. Alavés,1.073.312€,145,36,2610,0,0,0,0,28,0,0,248,221,0,44,0,78,0,0,0,0,0,0
David Soria,Getafe CF,552.213€,144,38,2100,4,2,2,24,26,38,10,125,333,0,39,0,0,0,4,0,1,0,0
Gayá,Valencia CF,1.196.747€,144,38,2520,0,0,0,0,27,0,0,267,450,0,30,0,53,0,2,0,0,1,0
Vinícius Jr,Real Madrid,15.086.802€,144,34,2847,1,7,6,19,53,32,5,217,417,0,45,0,0,2,7,0,0,0,0
Orellana,Real Valladolid,13.244.501€,144,37,1970,3,3,9,7,4,43,14,100,311,0,17,0,0,1,3,0,1,0,0
Mikel Rico,SD Huesca,3.208.686€,143,31,2153,6,2,4,23,7,28,16,153,372,0,31,0,0,0,5,0,0,0,0
Aridane,C.A. Osasuna,626.129€,143,33,2200,1,4,1,8,21,21,8,163,280,0,30,0,0,0,2,0,0,0,0
Roberto Torres,C.A. Osasuna,16.190.917€,142,25,2028,0,0,1,0,121,4,0,175,171,0,22,1,0,0,3,0,0,0,0
Mikel Merino,Real Sociedad,1.453.687€,142,35,1889,7,1,2,32,12,17,16,132,325,1,33,0,0,0,0,0,1,0,0
Siovas,SD Huesca,9.425.870€,142,27,2157,2,4,5,3,25,32,11,207,393,0,22,0,0,0,5,0,0,0,0
Josan,Elche CF,1.031.088€,140,37,3072,2,0,0,1,121,9,10,224,379,0,49,0,0,0,5,0,0,0,0
Felipe,Atlético de Madrid,1.141.541€,140,36,1931,4,2,1,23,17,38,8,122,306,0,28,0,0,0,3,0,0,0,0
Jonsson,Cádiz CF,9.620.201€,139,37,2052,0,0,1,0,126,3,2,160,172,0,18,0,0,0,8,0,0,0,1
