Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Ledesma,Cádiz CF,1.645.630€,217,38,3420,0,0,0,0,49,2,1,359,549,0,51,0,120,2,4,0,0,2,0
David Soria,Getafe CF,1.656.849€,212,38,3415,0,0,0,0,47,0,0,343,538,0,41,0,92,1,4,0,0,1,0
RDT,RCD Espanyol,35.378.189€,212,34,2923,17,3,2,5,36,50,49,72,313,0,44,1,0,1,5,1,1,0,0
Carrasco,Atlético de Madrid,39.401.448€,209,34,2589,6,6,11,53,10,83,14,179,497,0,34,0,0,0,5,0,0,0,0
David García,C.A. Osasuna,32.388.821€,206,36,3105,4,0,1,0,164,3,4,276,316,0,45,0,0,1,8,0,0,0,0
Diego Lopez,Rayo Vallecano,1.797.875€,206,36,3178,0,0,0,0,39,0,0,337,305,0,49,0,114,0,4,0,0,0,0
Soler,Valencia CF,45.098.148€,206,32,2480,11,5,5,55,23,18,22,145,400,0,33,0,0,0,4,0,0,0,0
Bono,Sevilla FC,7.066.852€,204,33,2790,0,2,1,0,23,0,0,222,254,0,24,0,75,0,2,0,0,1,0
Mikel Merino,Real Sociedad,35.196.197€,203,34,2894,3,2,7,7,55,27,17,310,539,0,24,0,0,1,8,0,2,0,0
Canales,Real Betis,40.488.502€,202,34,2803,5,7,8,17,12,29,25,186,443,0,31,0,0,0,7,0,0,0,0
Rulli,Villarreal CF,3.032.018€,202,38,2880,0,0,0,0,31,1,0,252,240,0,28,0,74,0,2,0,0,1,0
Unai Simón,Athletic Club,3.820.709€,201,34,3060,0,0,0,0,15,0,0,289,255,0,31,0,83,0,3,0,0,0,1
Militão,Real Madrid,40.307.421€,201,36,3033,1,2,2,1,106,11,8,260,266,0,30,0,0,0,5,0,1,0,0
Parejo,Villarreal CF,25.765.177€,201,34,2708,2,10,11,57,14,24,6,220,406,0,32,0,0,0,3,0,0,0,0
Ter Stegen,FC Barcelona,9.262.507€,197,35,3150,0,0,0,0,21,2,0,241,168,0,34,0,76,0,3,0,0,1,0
Le Normand,Real Sociedad,39.251.270€,197,37,3330,1,1,1,0,120,1,5,200,283,0,37,0,0,0,6,0,0,0,0
Iñaki Williams,Athletic Club,22.204.331€,196,38,2784,8,5,12,6,20,27,39,61,415,0,25,0,0,0,4,0,0,0,0
Sergio Herrera,C.A. Osasuna,1.626.997€,194,37,3240,0,0,0,0,27,3,0,314,491,0,48,0,102,0,3,0,0,3,0
