Nombre,Precio,Media,Total_puntos,Equipo,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
A. Griezmann,↑ 22.845.000,"8,4",109.0,,,,,,,,,,,,,,,,,,,,,,,
J. Bellingham,↑ 22.390.000,"11,5",138.0,,,,,,,,,,,,,,,,,,,,,,,
R. Lewandowski,↓ 21.249.000,"5,8",69.0,,,,,,,,,,,,,,,,,,,,,,,
T. Kubo,↓ 20.017.000,"8,1",105.0,,,,,,,,,,,,,,,,,,,,,,,
V. Júnior,↓ 18.945.000,"5,4",54.0,,,,,,,,,,,,,,,,,,,,,,,
A. García,↑ 18.809.000,"7,5",105.0,,,,,,,,,,,,,,,,,,,,,,,
I. Aspas,↑ 17.894.000,"5,1",71.0,,,,,,,,,,,,,,,,,,,,,,,
F. Valverde,↑ 17.805.000,"5,6",78.0,,,,,,,,,,,,,,,,,,,,,,,
G. Moreno,↑ 17.569.000,"7,6",91.0,,,,,,,,,,,,,,,,,,,,,,,
Isco,↑ 17.091.000,"7,4",104.0,,,,,,,,,,,,,,,,,,,,,,,
I. Williams,↑ 16.529.000,"7,3",102.0,,,,,,,,,,,,,,,,,,,,,,,
Rodrygo,↑ 16.230.000,"5,8",81.0,,,,,,,,,,,,,,,,,,,,,,,
Pedri,↑ 15.988.000,"5,4",27.0,,,,,,,,,,,,,,,,,,,,,,,
B. Méndez,↓ 15.916.000,"6,5",85.0,,,,,,,,,,,,,,,,,,,,,,,
Á. Morata,↓ 15.912.000,"6,3",76.0,,,,,,,,,,,,,,,,,,,,,,,
İ. Gündoğan,↑ 15.843.000,"4,8",67.0,,,,,,,,,,,,,,,,,,,,,,,
T. Kroos,↑ 15.597.000,"5,4",76.0,,,,,,,,,,,,,,,,,,,,,,,
Sávio,↑ 15.565.000,"6,6",92.0,,,,,,,,,,,,,,,,,,,,,,,
F. De Jong,↑ 15.534.000,"7,1",50.0,,,,,,,,,,,,,,,,,,,,,,,
R. Araújo,↑ 15.248.000,"7,3",58.0,,,,,,,,,,,,,,,,,,,,,,,
Pepelu,↑ 15.230.000,"6,6",92.0,,,,,,,,,,,,,,,,,,,,,,,
M. Oyarzabal,↑ 15.196.000,"6,4",90.0,,,,,,,,,,,,,,,,,,,,,,,
D. Carvajal,↑ 15.120.000,"7,2",86.0,,,,,,,,,,,,,,,,,,,,,,,
