Nombre,Precio,Media,Total_puntos
A. Griezmann,↑ 22.845.000,"8,4",109
J. Bellingham,↑ 22.390.000,"11,5",138
R. Lewandowski,↓ 21.249.000,"5,8",69
T. Kubo,↓ 20.017.000,"8,1",105
V. Júnior,↓ 18.945.000,"5,4",54
A. García,↑ 18.809.000,"7,5",105
I. Aspas,↑ 17.894.000,"5,1",71
F. Valverde,↑ 17.805.000,"5,6",78
G. Moreno,↑ 17.569.000,"7,6",91
Isco,↑ 17.091.000,"7,4",104
I. Williams,↑ 16.529.000,"7,3",102
Rodrygo,↑ 16.230.000,"5,8",81
Pedri,↑ 15.988.000,"5,4",27
B. Méndez,↓ 15.916.000,"6,5",85
Á. Morata,↓ 15.912.000,"6,3",76
İ. Gündoğan,↑ 15.843.000,"4,8",67
T. Kroos,↑ 15.597.000,"5,4",76
Sávio,↑ 15.565.000,"6,6",92
F. De Jong,↑ 15.534.000,"7,1",50
R. Araújo,↑ 15.248.000,"7,3",58
Pepelu,↑ 15.230.000,"6,6",92
M. Oyarzabal,↑ 15.196.000,"6,4",90
D. Carvajal,↑ 15.120.000,"7,2",86
N. Williams,↑ 15.094.000,"5,7",63
J. Cancelo,↑ 15.046.000,"5,6",62
J. Félix,↑ 14.869.000,"4,9",54
Joselu,↑ 14.803.000,"4,3",60
V. Muriqi,↓ 14.262.000,"6,8",81
M. Zubimendi,↑ 14.023.000,"5,8",81
A. Budimir,↑ 13.747.000,"6,9",96
I. Rakitić,↑ 13.673.000,"5,1",61
B. Mayoral,↑ 13.652.000,"6,9",96
Y. Herrera,↑ 13.582.000,"6,1",85
A. Dovbyk,↑ 13.227.000,"6,8",88
Gavi,↓ 13.167.000,"6,0",72
Á. Valles,↑ 12.871.000,"6,4",90
J. Koundé,↓ 12.612.000,"4,5",49
J. Guerra,↓ 12.507.000,"5,8",81
E. Camavinga,↓ 12.445.000,"4,8",62
A. Pérez,↑ 12.418.000,"6,0",78
S. Lino,↑ 12.176.000,"7,2",65
O. Sancet,↑ 12.030.000,"5,2",62
B. Zaragoza,↓ 11.908.000,"6,6",86
