Nombre,Posicion,Puntos,Precio
A. Griezmann,delantero,128.51455035534642,17682839.374999996
J. Bellingham,mediocentro,127.6384392442353,19461801.666666668
V. Muriqi,delantero,119.20965677670283,14102619.0
A. Budimir,delantero,119.20965677670283,15740235.422619047
Isco,mediocentro,118.73279963384567,17585362.589285713
M. Guiu,delantero,115.46804314033922,14843660.0
Sávio,delantero,111.85612633525217,16639620.422619047
G. Moreno,delantero,111.70483601267154,16448102.922619047
B. Zaragoza,mediocentro,105.93759476959559,15544168.422619047
F. De Jong,mediocentro,97.55919321248922,11290490.0
