Nombre,Posicion,Puntos,Precio
F. Lejeune,defensa,72.39434035521714,8255103.328590525
A. Witsel,defensa,72.34884035521715,8474673.733918238
M. Hermoso,defensa,67.26768865008175,6858648.952834456
M. Diakhaby,defensa,67.10452198341508,6770556.98691713
J. Araujo,defensa,66.37294671928792,6749567.899277797
L. Hernández,defensa,66.14543881328022,6782146.7729895655
S. Cardona,defensa,64.85359303963426,6694948.417656549
A. Suárez,defensa,58.588750905874846,3398554.8661825405
K. Tierney,defensa,58.57694922741849,3926885.980765281
C. Mosquera,defensa,57.19008855795706,3252086.3511629207
