Nombre,Posicion,Puntos,Precio
A. Griezmann,delantero,129.74926190476197,17269536.467060324
A. Budimir,delantero,120.8302575757576,16228322.63808375
V. Muriqi,delantero,113.87563852813855,16331938.97494134
R. Lewandowski,delantero,88.64595238095238,10467385.966535814
I. Aspas,delantero,87.520683982684,9770985.32935738
G. Moreno,delantero,87.29338492063492,12394310.081044381
M. Oyarzabal,delantero,82.31030158730157,11412914.575106367
J. Strand Larsen,delantero,76.58114285714286,10501581.422901172
F. Torres,delantero,76.17197619047617,8635450.85041789
S. Omorodion,delantero,68.48241666666667,7073239.506337407
