Nombre,Posicion,Puntos,Precio
V. Guaita,portero,45.440103174603166,4291904.156683189
R. Fernández,portero,41.49037301587302,1771496.5320792329
A. Ferreira,portero,35.60348520923522,1559934.4917464978
D. Mariño,portero,27.218261904761903,543815.6896575964
U. Marrero,portero,5.662587301587301,253212.0519901432
A. López,portero,0.61925,791848.3270631521
J. Doménech,portero,0.0,221876.42204369695
T. Courtois,portero,0.0,1456785.9142327574
P. Reina,portero,0.0,203433.1962832905
I. Grbić,portero,0.0,189976.0962832905
