Nombre,Precio,Media,Total_puntos,posicion,equipo,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP,Predicted_Points
Ó. De Marcos,6181000,4.6,65,defensa,Athletic Club,14.0,1125.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,74.0,95.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,80.25641
J. Cancelo,16261000,5.0,80,defensa,Fútbol Club Barcelona,14.0,1258.0,0.0,1.0,0.0,0.0,59.0,1.0,8.0,89.0,147.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,79.26112
M. Diakhaby,1456000,4.2,50,defensa,Valencia Club de Fútbol,14.0,977.0,0.0,0.0,1.0,0.0,57.0,0.0,1.0,44.0,95.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,75.181854
A. Witsel,10736000,4.7,85,defensa,Club Atlético de Madrid,12.0,1010.0,1.0,0.0,1.0,0.0,37.0,0.0,2.0,66.0,63.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.19838
S. Cardona,11393000,4.4,80,defensa,Unión Deportiva Las Palmas,14.0,705.0,1.0,0.0,0.0,1.0,25.0,9.0,7.0,65.0,79.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,64.4485
D. Rico,10002000,4.9,68,defensa,Getafe Club de Fútbol,11.0,934.0,1.0,3.0,3.0,15.0,9.0,4.0,2.0,66.0,157.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,61.504166
O. Alderete,597000,2.8,37,defensa,Getafe Club de Fútbol,13.0,568.0,0.0,1.0,0.0,0.0,40.0,3.0,0.0,35.0,80.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,45.43643
R. Marín,2507000,3.3,49,defensa,Deportivo Alavés,13.0,546.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,45.0,57.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44.49724
M. Mármol,10103000,4.5,76,defensa,Unión Deportiva Las Palmas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.685173
C. Azpilicueta,1627000,3.2,51,defensa,Club Atlético de Madrid,14.0,470.0,1.0,1.0,1.0,3.0,4.0,6.0,4.0,46.0,69.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.57319
