Nombre,Puntos,Posicion,Precio
M. Morlanes,20.968958,mediocentro,115.804
M. Tejón,1.8788298,mediocentro,33.33316
F. Coquelin,17.908901,mediocentro,92.01366
Á. Berenguer,45.01227,mediocentro,823.53674
A. López,1.8799695,portero,33.331818
C. Mosquera,56.828808,defensa,1175.6205
L. Torró,42.29839,mediocentro,591.5665
P. Marín,1.8822486,mediocentro,33.329144
A. Mandi,32.991085,defensa,284.47858
J. Costa,24.656693,defensa,163.00754
N. Fernández,14.854779,defensa,109.386086
J. Pacheco,28.523563,defensa,191.88947
J. Arnaiz,34.907433,delantero,349.89893
L. Ramazani,53.55014,delantero,916.9231
Isco,130.76956,mediocentro,3502.4207
I. Peña,63.090675,portero,1161.3031
J. Guerra,73.013695,mediocentro,1666.0962
B. Méndez,101.14953,mediocentro,2610.325
R. García,43.905563,mediocentro,564.07434
A. Ferreira,40.780743,portero,554.2643
K. Arrizabalaga,64.96928,portero,1388.2623
M. Diakhaby,49.949265,defensa,746.5248
H. Guillamón,32.998875,mediocentro,351.2038
P. Barrios,75.261284,mediocentro,1461.1116
K. García,40.331036,delantero,498.4684
L. Vázquez,36.673985,defensa,511.26892
J. Cancelo,94.27473,defensa,2489.701
C. Herrera,23.237415,delantero,132.99046
A. Almeida,34.373203,mediocentro,312.14307
J. Navas,23.44902,defensa,157.15234
A. Christensen,38.359974,defensa,669.0621
R. Nteka,37.17147,delantero,383.46863
Á. Correa,55.651485,delantero,981.8467
A. Budimir,116.876015,delantero,3008.3845
V. Muriqi,111.235275,delantero,2723.8674
M. Guiu,146.11012,delantero,2935.6765
D. Brašanac,1.8577472,mediocentro,33.357952
V. Fernández,34.020813,mediocentro,353.5321
F. Torres,68.202324,delantero,1506.7397
G. González,36.000874,defensa,397.59064
B. Ocampo,19.877373,mediocentro,106.96786
V. Tsygankov,102.682884,mediocentro,2621.34
C. Portu,36.991665,mediocentro,443.9906
Y. Herrera,92.011345,mediocentro,2206.8335
I. García,23.230503,defensa,133.77505
A. Zakharyan,29.061245,mediocentro,234.05774
R. De Paul,83.28418,mediocentro,2035.7365
Ç. Söyüncü,3.9198933,defensa,37.060566
L. Henrique,27.201145,delantero,181.54102
Marcão,5.242548,defensa,39.818844
I. Ruiz De Galarreta,82.40081,mediocentro,1867.9943
G. Paulista,36.55087,defensa,548.0875
J. Agirrezabala,1.8548981,portero,33.3613
A. Witsel,76.79694,defensa,1838.6803
R. Mandava,17.743793,defensa,94.70373
M. Llorente,70.53338,mediocentro,1683.4108
A. Griezmann,152.21312,delantero,4181.391
Chumi,19.837286,defensa,117.11403
Y. Pino,39.988346,delantero,447.64044
M. El Haddadi,47.69903,delantero,881.6477
J. Cuenca,36.03281,defensa,398.98163
A. Catena,41.946037,defensa,609.40784
C. Neva,31.070457,defensa,298.89862
S. Omorodion,62.153667,delantero,1255.024
E. Bailly,17.641489,defensa,109.50617
R. Falcao,27.138588,delantero,177.394
S. Arribas,83.31197,mediocentro,2005.2767
Á. Odriozola,30.058775,defensa,220.82037
R. Silva,65.1193,portero,1291.816
J. Bellingham,188.56636,mediocentro,5053.8774
Sávio,119.60251,delantero,3175.8157
A. Lunin,73.59208,portero,1382.1223
G. Moreno,120.39475,delantero,3206.7156
A. Prats,58.713707,delantero,1023.20935
K. Tierney,49.28273,defensa,818.5292
F. De Jong,121.72608,mediocentro,3211.6707
S. Cardona,73.86788,defensa,1801.8882
F. San Emeterio,17.908901,mediocentro,92.01366
D. Duarte,12.638731,defensa,66.3592
F. Valverde,114.24598,mediocentro,3110.7893
A. Balde,47.097206,defensa,922.19885
L. Suárez,72.113174,delantero,1243.1039
I. Grbić,1.8822486,portero,33.329144
G. Gumbau,51.48525,mediocentro,922.7553
I. Palazón,83.345924,mediocentro,2096.7551
H. Álvarez,9.274105,mediocentro,51.983883
S. Costa,74.71228,mediocentro,1745.2842
B. Iglesias,19.830368,delantero,110.80866
J. Miranda,40.432583,defensa,572.30444
J. Llabrés,17.877354,delantero,92.51804
I. Rakitić,82.71822,mediocentro,2142.3303
C. Pérez,20.989323,mediocentro,114.55786
M. Nastasić,43.155045,defensa,632.1045
U. González,13.519945,mediocentro,69.87164
J. Muñoz,44.35088,mediocentro,792.239
R. Albiol,31.464645,defensa,370.9892
R. Alcaraz,61.35084,mediocentro,1148.0026
I. Baba,23.237415,mediocentro,132.99046
R. Fernández,34.366604,portero,311.5469
A. Suárez,46.324726,defensa,713.0676
L. Hernández,53.609493,defensa,781.67096
J. Doménech,1.8822486,portero,33.329144
P. Reina,1.882249,portero,33.32914
