Nombre,Precio,Media,Total_puntos,posicion,equipo,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP,puntos_predichos,precio_predicho
J. Bellingham,24262000,10.2,173,mediocentro,Real Madrid Club de Fútbol,13.0,1025.0,11.0,2.0,1.0,1.0,6.0,24.0,18.0,59.0,136.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,165.81917586308643,"24,262,000.00 €"
T. Kubo,20904000,8.2,147,mediocentro,Real Sociedad de Fútbol,14.0,970.0,5.0,2.0,7.0,14.0,1.0,16.0,10.0,52.0,162.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.46990907461554,"20,904,000.00 €"
A. García,20771000,7.2,137,mediocentro,Girona Fútbol Club,14.0,1260.0,3.0,4.0,5.0,38.0,27.0,3.0,5.0,102.0,160.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128.8802114596558,"20,771,000.00 €"
F. Valverde,20115000,5.7,108,mediocentro,Real Madrid Club de Fútbol,14.0,1118.0,1.0,2.0,4.0,2.0,9.0,12.0,7.0,85.0,119.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,118.90718843074461,"20,115,000.00 €"
Isco,19605000,7.0,126,mediocentro,Real Betis Balompié,14.0,1144.0,2.0,2.0,7.0,33.0,2.0,28.0,15.0,68.0,245.0,0.0,15.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,132.88198985476495,"19,605,000.00 €"
T. Kroos,18097000,5.7,108,mediocentro,Real Madrid Club de Fútbol,13.0,1045.0,2.0,2.0,2.0,3.0,13.0,6.0,7.0,72.0,139.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,108.19114157139867,"18,097,000.00 €"
İ. Gündoğan,17817000,5.4,102,mediocentro,Fútbol Club Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.12651540122295,"17,817,000.00 €"
N. Williams,17801000,6.4,103,mediocentro,Athletic Club,15.0,1233.0,6.0,3.0,6.0,12.0,13.0,21.0,22.0,70.0,235.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,123.9050889253783,"17,801,000.00 €"
F. De Jong,17706000,6.7,74,mediocentro,Fútbol Club Barcelona,7.0,576.0,1.0,0.0,1.0,2.0,7.0,8.0,2.0,51.0,65.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,112.3288477606161,"17,706,000.00 €"
M. Zubimendi,16692000,6.4,122,mediocentro,Real Sociedad de Fútbol,14.0,1157.0,2.0,1.0,1.0,0.0,24.0,3.0,4.0,97.0,116.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,112.93747058580593,"16,692,000.00 €"
