Nombre,Posicion,Puntos,Precio
J. Bellingham,mediocentro,176.2516480183629,24262000
A. Griezmann,delantero,147.65525506005818,24384000
T. Kubo,mediocentro,144.83943871185323,20904000
A. García,mediocentro,133.35008200856586,20771000
I. Williams,delantero,132.33187126451463,18358000
Isco,mediocentro,127.944472883825,19605000
B. Mayoral,delantero,124.1554386034343,16992000
A. Dovbyk,delantero,122.8682176025342,16928000
M. Guiu,delantero,119.5342173640498,204000
F. De Jong,mediocentro,119.42693099975696,17706000
